mapping_id,record_id,model_id,prompt_variant,seed,line_number,raw_phrase,normalized_phrase,proposed_canonical,confidence,review_flags,fixture
2b28134c68e8381c08e22299546f91408739dc1b0dee3b1fafde76f6fe94e618,1088ac30225eec10b7751bdf50f03b678e4146664df4cc51663ca6d14825dfdc,qwen3_5_0_8b_2026,scenario,202,3,Issue resolution,issue resolution,Problem solving,0.94,,True
48560e0c704360669cb8417e9f9fd269a98453c423e81538af8d0f541640efcc,1088ac30225eec10b7751bdf50f03b678e4146664df4cc51663ca6d14825dfdc,qwen3_5_0_8b_2026,scenario,202,4,Property management systems,property management systems,Reservation systems,0.85,,True
e438639214c5c25b3d52e42912f889ea39c87de9a6ed06f7f5c10e647f5f8394,1088ac30225eec10b7751bdf50f03b678e4146664df4cc51663ca6d14825dfdc,qwen3_5_0_8b_2026,scenario,202,5,Prioritization,prioritization,Time management,0.82,,True
c42db8d88d75cf6c25ee9b2ed2efd729221723fd1050fdf8a32142caccce9932,1088ac30225eec10b7751bdf50f03b678e4146664df4cc51663ca6d14825dfdc,qwen3_5_0_8b_2026,scenario,202,6,Teamwork,teamwork,Teamwork,0.91,,True
d7b29e390c3a9d4be8ceb602a01720fccf4f786c76a148f49d1fdcf2d37c8339,1088ac30225eec10b7751bdf50f03b678e4146664df4cc51663ca6d14825dfdc,qwen3_5_0_8b_2026,scenario,202,7,Guest data protection,guest data protection,Data privacy,0.88,,True
008e1267b03a32df2ecae74096469c8b6c9545123c5426acaec8c64f72e723b5,1088ac30225eec10b7751bdf50f03b678e4146664df4cc51663ca6d14825dfdc,qwen3_5_0_8b_2026,scenario,202,8,AI literacy,ai literacy,AI literacy,0.91,,True
c5b854b24b9509ba3019a1da2ba070168219348853094ec8a1b2ba206d329638,21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef,qwen1_5_0_5b_chat_2024,task_anchored,303,1,Verbal communication,verbal communication,Guest communication,0.94,,True
6d8f93158f0644cae765c5ccd360fc977d814f6cad3116d8af9edb59eb6d453c,21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef,qwen1_5_0_5b_chat_2024,task_anchored,303,2,Customer service,customer service,Customer service,0.92,,True
9028fe5ef143a017426454baebbb42c7ec2f11801efa08da7cb1801c71ae479f,21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef,qwen1_5_0_5b_chat_2024,task_anchored,303,3,Handling guest complaints,handling guest complaints,Complaint handling,0.86,,True
5f36adc60f467e01cb20a7672ca8d9e8c855cef830b23115497ec62fe9d78db7,21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef,qwen1_5_0_5b_chat_2024,task_anchored,303,4,Reservation systems,reservation systems,Reservation systems,0.85,,True
230bf939b7d34f6e986c33a68d35ee7a89eff7a4b435e3ef152c7258a42d8f96,21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef,qwen1_5_0_5b_chat_2024,task_anchored,303,5,Multitasking,multitasking,Multitasking,0.97,,True
50ccf9f27e1fc1ac9e5e02832512955ad40d1df1749097e3d34bbe4f88a1b2f0,21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef,qwen1_5_0_5b_chat_2024,task_anchored,303,6,Teamwork,teamwork,Teamwork,0.91,,True
fc6ef7de4dad63204929b1d17a971e1d292f01539a73cf91db18fe80c03e7942,21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef,qwen1_5_0_5b_chat_2024,task_anchored,303,7,Record keeping,record keeping,Record keeping,0.55,unclustered|human_review_required,True
5294ab7a5a43a16c69089072329a511dfb17e7462e4e05e62ec0260aff50c2c6,21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef,qwen1_5_0_5b_chat_2024,task_anchored,303,8,Local knowledge,local knowledge,Local knowledge,0.91,,True
e5344cdb1573d8996343762509fd091ef24b8d6ff102c2cc0f812dbe038b6f92,30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514,qwen1_5_0_5b_chat_2024,scenario,303,1,Verbal communication,verbal communication,Guest communication,0.94,,True
bc8e16363f4afe8f6252bc8fcb16ed6d37519f46e73b2b011909dd237f3fb4ef,30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514,qwen1_5_0_5b_chat_2024,scenario,303,2,Guest service,guest service,Customer service,0.92,,True
2164dfc47729b0a8e72c95c171e965f20aa1f9ffbb53f1a616e5b410f8c7bf7f,30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514,qwen1_5_0_5b_chat_2024,scenario,303,3,Handling guest complaints,handling guest complaints,Complaint handling,0.86,,True
4d74ca6dc4fdfee822712b5ab728c8bcf716e8e130958d7701086ac613be0da5,30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514,qwen1_5_0_5b_chat_2024,scenario,303,4,Booking systems,booking systems,Reservation systems,0.85,,True
0858569478a21263aedf80e1fe3357656409e35595355f4bb800c3941fc635b1,30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514,qwen1_5_0_5b_chat_2024,scenario,303,5,Multitasking,multitasking,Multitasking,0.97,,True
a045470313bbfbd83ac8e359bb8a5e94f0066b74f9a217fbe7b5d0ef8a0d17a6,30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514,qwen1_5_0_5b_chat_2024,scenario,303,6,Team collaboration,team collaboration,Teamwork,0.91,,True
0eaf1336bc29ca29d32504e7ff405bc19191e7c4d5723314a373dc613acf5d7d,30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514,qwen1_5_0_5b_chat_2024,scenario,303,7,Cash handling,cash handling,Payment processing,0.78,,True
646e850a386ea92fd97c14f691ecc6bd192e0fc4e1cf1180bcb1e3f174e9b18a,30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514,qwen1_5_0_5b_chat_2024,scenario,303,8,Local knowledge,local knowledge,Local knowledge,0.91,,True
b72a5ff3817ffc4a0db9c4eb2d5c3471b40cc57a49856b937104d0f3a9968b1a,3e4dff9137d4bca74f75841f65c5ea50d198bfe095c8d788d66fe60d9e83b173,qwen3_5_0_8b_2026,scenario,303,1,Verbal communication,verbal communication,Guest communication,0.94,,True
c4bb46a98a389f99a92aedddf969a06a56468c590ef80a57bfa73f42ea37238c,3e4dff9137d4bca74f75841f65c5ea50d198bfe095c8d788d66fe60d9e83b173,qwen3_5_0_8b_2026,scenario,303,2,Customer service,customer service,Customer service,0.92,,True
300623a23be68f888b445760e41dee2e5f4edc221fcbc10c3fdb72ff0b079917,3e4dff9137d4bca74f75841f65c5ea50d198bfe095c8d788d66fe60d9e83b173,qwen3_5_0_8b_2026,scenario,303,3,Conflict resolution,conflict resolution,Complaint handling,0.86,,True
9ef5f08037890d10831210626dd83af077b3c622f387f6429475ea793288269e,3e4dff9137d4bca74f75841f65c5ea50d198bfe095c8d788d66fe60d9e83b173,qwen3_5_0_8b_2026,scenario,303,4,Booking systems,booking systems,Reservation systems,0.85,,True
aad0d6066b56c56193045f9ddd2621b84ea3648a1014e3da7b247437ded06ea5,3e4dff9137d4bca74f75841f65c5ea50d198bfe095c8d788d66fe60d9e83b173,qwen3_5_0_8b_2026,scenario,303,5,Attention to detail,attention to detail,Attention to detail,0.84,,True
c00737a24775680c73446bb4fc83d361801384bdb3a32a62cc347d86a60406ed,3e4dff9137d4bca74f75841f65c5ea50d198bfe095c8d788d66fe60d9e83b173,qwen3_5_0_8b_2026,scenario,303,6,Collaboration,collaboration,Teamwork,0.91,,True
75cde9eb169f1212073ba18a743f49fc9d7c9673051a176643e68c22d44d32e8,3e4dff9137d4bca74f75841f65c5ea50d198bfe095c8d788d66fe60d9e83b173,qwen3_5_0_8b_2026,scenario,303,7,Privacy awareness,privacy awareness,Data privacy,0.88,,True
26caedc5facb2f3157894c42b02f88381c18603c3ea3da1af8c19c69a0f1d15f,3e4dff9137d4bca74f75841f65c5ea50d198bfe095c8d788d66fe60d9e83b173,qwen3_5_0_8b_2026,scenario,303,8,Artificial intelligence literacy,artificial intelligence literacy,AI literacy,0.91,,True
ec62a0bdaa483ee89b205f1ec9ca7e2b1310f7785b5d0525c63f8034e11fc35d,4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39,qwen1_5_0_5b_chat_2024,task_anchored,101,1,Communication,communication,Guest communication,0.94,,True
d2e694e9e49f4c49a21ba15f02a307721e7fccf00fb8218b7961d18a67bdfb11,4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39,qwen1_5_0_5b_chat_2024,task_anchored,101,2,Customer service,customer service,Customer service,0.92,,True
1dc66696b43395dc77e7ee0479c30b65918d3e69bbdd80d824b967c432da5fad,4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39,qwen1_5_0_5b_chat_2024,task_anchored,101,3,Conflict resolution,conflict resolution,Complaint handling,0.86,,True
d3cd17b18b0e75ee02ff62763293836222c8693927c4ba0678908b196de9267e,4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39,qwen1_5_0_5b_chat_2024,task_anchored,101,4,Property management systems,property management systems,Reservation systems,0.85,,True
5f85d94470ee268ca422409b40ef61a707b10ab064957280d5813e16d05c4bdc,4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39,qwen1_5_0_5b_chat_2024,task_anchored,101,5,Accuracy,accuracy,Attention to detail,0.84,,True
b23c49301e47accda5c10251992fc1eb0916b7b003b179660a7fa494d5411ee4,4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39,qwen1_5_0_5b_chat_2024,task_anchored,101,6,Prioritization,prioritization,Time management,0.82,,True
6fe00051f6cba4eb42d2d5954b01dce905f2da2ea63875258bd4c221d15b87ac,4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39,qwen1_5_0_5b_chat_2024,task_anchored,101,7,Teamwork,teamwork,Teamwork,0.91,,True
3ded66726388f9e45fa900aa69c8fcb208654ebe8c2503ba4f700fdbdba3e158,4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39,qwen1_5_0_5b_chat_2024,task_anchored,101,8,Record keeping,record keeping,Record keeping,0.55,unclustered|human_review_required,True
6ebf86e3d84014150e140f29ad04d1d61636f99865357fc154b18d6d4b51de3b,5000ba7fdbbc591c11220ea180fcbb06dd6cf8dc194feb0a2158e401919e6738,qwen3_5_0_8b_2026,task_anchored,202,1,Guest communication,guest communication,Guest communication,0.94,,True
02c2387b6ad257f502de3d48ed57ce47b320c46d125e9c203869a355413bf688,5000ba7fdbbc591c11220ea180fcbb06dd6cf8dc194feb0a2158e401919e6738,qwen3_5_0_8b_2026,task_anchored,202,2,Handling guest complaints,handling guest complaints,Complaint handling,0.86,,True
e9cb62b53c40055288c75fe7082288dda01d96e2892f517caf86f2f9f097c3a3,5000ba7fdbbc591c11220ea180fcbb06dd6cf8dc194feb0a2158e401919e6738,qwen3_5_0_8b_2026,task_anchored,202,3,Property management systems,property management systems,Reservation systems,0.85,,True
e195b8d1ce773ded656db9bc97038f0256157683875f2d7c7fc70d8995afb076,5000ba7fdbbc591c11220ea180fcbb06dd6cf8dc194feb0a2158e401919e6738,qwen3_5_0_8b_2026,task_anchored,202,4,Payment processing,payment processing,Payment processing,0.78,,True
7570a8333f8c91063f60df44b5c54af799f680081efeb5672e81d2e1055d36e1,5000ba7fdbbc591c11220ea180fcbb06dd6cf8dc194feb0a2158e401919e6738,qwen3_5_0_8b_2026,task_anchored,202,5,Attention to detail,attention to detail,Attention to detail,0.84,,True
753dccd9a22a68457b2b4f1a4c05387417f48ddbccbb5e6f769f98d088750e58,5000ba7fdbbc591c11220ea180fcbb06dd6cf8dc194feb0a2158e401919e6738,qwen3_5_0_8b_2026,task_anchored,202,6,Multitasking,multitasking,Multitasking,0.97,,True
278494aa6a61dee668d716710cb1c0a4e8bcefa3dde2d353da8a4e5e38e82e82,5000ba7fdbbc591c11220ea180fcbb06dd6cf8dc194feb0a2158e401919e6738,qwen3_5_0_8b_2026,task_anchored,202,7,Guest data protection,guest data protection,Data privacy,0.88,,True
70157fb392caca2a08b0db1a6021649dc6bc1e30e95b9c7bdd1e6076ad4d41be,5000ba7fdbbc591c11220ea180fcbb06dd6cf8dc194feb0a2158e401919e6738,qwen3_5_0_8b_2026,task_anchored,202,8,Artificial intelligence literacy,artificial intelligence literacy,AI literacy,0.91,,True
db592a5abe862f62e374f04d02f6a50bdcd4e8592507232ad72f84df2ef6d677,6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e,qwen1_5_0_5b_chat_2024,direct,101,1,Communication skills,communication skills,Guest communication,0.94,,True
51689299d29a8100c847905b0a2781e3bf10fcf6a3d286e6dd4c48d13ea7560f,6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e,qwen1_5_0_5b_chat_2024,direct,101,2,Customer service,customer service,Customer service,0.92,,True
6cb9a5ddd27ac717f5a5a025adc5cc3719550c27813e97801189aa898bac1443,6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e,qwen1_5_0_5b_chat_2024,direct,101,3,Problem solving,problem solving,Problem solving,0.94,,True
a2cf826baaa450a446589d36bfa0e1b1ab4f035202098d3af203a897532ee5c6,6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e,qwen1_5_0_5b_chat_2024,direct,101,4,Attention to detail,attention to detail,Attention to detail,0.84,,True
39226b07a38bb27e054dc193db35fa6c8cda82795eaeaa6fd78b9db961a2b65d,6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e,qwen1_5_0_5b_chat_2024,direct,101,5,Multitasking,multitasking,Multitasking,0.97,,True
e42057337d8539039d044cb341c23bd9f70a2b7c37158542b6b5e4a0bd54262a,6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e,qwen1_5_0_5b_chat_2024,direct,101,6,Teamwork,teamwork,Teamwork,0.91,,True
d10ac98710bfcea4cdb8dad2df4a268ab6d91e9cb901d91e8b81531c2d451988,6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e,qwen1_5_0_5b_chat_2024,direct,101,7,Cash handling,cash handling,Payment processing,0.78,,True
f7eed64464fb44339def9bc000ddd0583a32bbeb2f0ff33f9418108d14d95928,6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e,qwen1_5_0_5b_chat_2024,direct,101,8,Local area knowledge,local area knowledge,Local knowledge,0.91,,True
a8ccbe122df00b254208ba40fdee7d8cbef00ff94042d704534422141026b985,66f963fb0b7febe3aa6efc5313ce1cdb2da271c21ece7180e05f63d3e82cafde,qwen3_5_0_8b_2026,task_anchored,101,1,Communication skills,communication skills,Guest communication,0.94,,True
9eafb3c57c6d84d40c7ea725f4011a67748a44e414e74575a952e600ba15a705,66f963fb0b7febe3aa6efc5313ce1cdb2da271c21ece7180e05f63d3e82cafde,qwen3_5_0_8b_2026,task_anchored,101,2,Complaint handling,complaint handling,Complaint handling,0.86,,True
32b3e9d36ea8c838dce6a0feffb16655148e672a4fa67909a11a1811d88e8290,66f963fb0b7febe3aa6efc5313ce1cdb2da271c21ece7180e05f63d3e82cafde,qwen3_5_0_8b_2026,task_anchored,101,3,Reservation systems,reservation systems,Reservation systems,0.85,,True
22a87f4a1d6de62aad98043243dffd5740998303e1ce976fbdcaa34bea6b9428,66f963fb0b7febe3aa6efc5313ce1cdb2da271c21ece7180e05f63d3e82cafde,qwen3_5_0_8b_2026,task_anchored,101,4,Cash handling,cash handling,Payment processing,0.78,,True
0c8986b9b5bf6c23cf74745fbb59929d3fb9321bb8df32a871f124bb0dbcc210,66f963fb0b7febe3aa6efc5313ce1cdb2da271c21ece7180e05f63d3e82cafde,qwen3_5_0_8b_2026,task_anchored,101,5,Accuracy,accuracy,Attention to detail,0.84,,True
478e122df50e148623b5f876e39f678fe3487aa98c91cb701363db918099cda6,66f963fb0b7febe3aa6efc5313ce1cdb2da271c21ece7180e05f63d3e82cafde,qwen3_5_0_8b_2026,task_anchored,101,6,Multi-tasking,multi tasking,Multitasking,0.97,,True
0a470d87342ba0b275bbfb9daebd31942167829aa7543be3081f9e9b582550eb,66f963fb0b7febe3aa6efc5313ce1cdb2da271c21ece7180e05f63d3e82cafde,qwen3_5_0_8b_2026,task_anchored,101,7,Data privacy,data privacy,Data privacy,0.88,,True
49c99514ecf958fcbb105543c306b26f20a120f7b4b4ee053bf7e60e0365b4bb,66f963fb0b7febe3aa6efc5313ce1cdb2da271c21ece7180e05f63d3e82cafde,qwen3_5_0_8b_2026,task_anchored,101,8,AI literacy,ai literacy,AI literacy,0.91,,True
44bc8544988a62b54a6967a093ceb944d22a5fb37b5a2797a0e7284e78b666e5,6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870,qwen1_5_0_5b_chat_2024,scenario,101,1,Communication skills,communication skills,Guest communication,0.94,,True
f8ab550eaeb6c734fe673a50bfcd658710b4f830b975b8e1ea459a43d46c251a,6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870,qwen1_5_0_5b_chat_2024,scenario,101,2,Customer service,customer service,Customer service,0.92,,True
cfad4a317a55d5ae311687a9b31e6fe5411ba6d4716e112d5d9b37e2b6fa8ae8,6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870,qwen1_5_0_5b_chat_2024,scenario,101,3,Complaint handling,complaint handling,Complaint handling,0.86,,True
34ec3324be7ee23f8277a8cb85c8cf6ed1b5164ee4edc26885820b17b93b5d9f,6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870,qwen1_5_0_5b_chat_2024,scenario,101,4,Reservation systems,reservation systems,Reservation systems,0.85,,True
c119d860d8405b49a4e2bf74fe4e52dae0e7d4567fb34ec8f9f0f3f84c3f93a3,6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870,qwen1_5_0_5b_chat_2024,scenario,101,5,Attention to detail,attention to detail,Attention to detail,0.84,,True
109ebf0f261bdc16f7f9b417180fae81911aab63828f879edaf417c0b62fe437,6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870,qwen1_5_0_5b_chat_2024,scenario,101,6,Time management,time management,Time management,0.82,,True
f6b548d3a84a1ae2f6dac718dc7bffdb1d08ce4b9a57c9da0521796d71713df5,6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870,qwen1_5_0_5b_chat_2024,scenario,101,7,Teamwork,teamwork,Teamwork,0.91,,True
e5e7d4529322b5c590ba1e23b6b45cd0dd808a2f645374703c3a83c3555cf685,6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870,qwen1_5_0_5b_chat_2024,scenario,101,8,Local area knowledge,local area knowledge,Local knowledge,0.91,,True
8e3b88ceca82b8bd3f65b243579985560b723df99ae1cc7915c246d18e1ab6ed,967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884,qwen1_5_0_5b_chat_2024,direct,202,1,Verbal communication,verbal communication,Guest communication,0.94,,True
9041e742574e8cc92245a205cf6ae749080f77f6e6a60590fe3cad41bb4d7b3a,967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884,qwen1_5_0_5b_chat_2024,direct,202,2,Guest service,guest service,Customer service,0.92,,True
4d04fb28a7f57858920db34e0aabbd2a35717f07cdd69d13b7a8a02fc8eb974d,967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884,qwen1_5_0_5b_chat_2024,direct,202,3,Problem-solving,problem solving,Problem solving,0.94,,True
f1d142948f7e32a62017b7bb1a5bc84a63336afc0a0e4add32e1bf6a91cb3318,967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884,qwen1_5_0_5b_chat_2024,direct,202,4,Accuracy,accuracy,Attention to detail,0.84,,True
66a55910bb8657540eaec1a489aa152a3dcc62619fce5912108d12061dc06b83,967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884,qwen1_5_0_5b_chat_2024,direct,202,5,Multi-tasking,multi tasking,Multitasking,0.97,,True
6cfda8c6963e919e0e8c6c5a6709864f5f8502d91c889182a8bc8dfdb9cd39a5,967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884,qwen1_5_0_5b_chat_2024,direct,202,6,Collaboration,collaboration,Teamwork,0.91,,True
679b1fac58f0bfa7b1d3261d5c806f10f2cb636e0fee803e4dbdab93f64a4e3e,967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884,qwen1_5_0_5b_chat_2024,direct,202,7,Payment processing,payment processing,Payment processing,0.78,,True
5068dafca473e3bb1358185a3e7445a97e59133634e655daa4e87c9b982ab459,967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884,qwen1_5_0_5b_chat_2024,direct,202,8,Local knowledge,local knowledge,Local knowledge,0.91,,True
90f0b70e556f1da1d0719594d74abba956236ebae214e09385a86f9dd99b3457,b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de,qwen1_5_0_5b_chat_2024,direct,303,1,Communication,communication,Guest communication,0.94,,True
9f66c023f184681326f2d35fc0200005b3b6dcc87743025510e542fdd86ed397,b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de,qwen1_5_0_5b_chat_2024,direct,303,2,Hospitality service,hospitality service,Customer service,0.92,,True
b5d14df885b51c24dadc61ca2268fcd2ba9d1d0a25d0aab44607c39482f68cd4,b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de,qwen1_5_0_5b_chat_2024,direct,303,3,Issue resolution,issue resolution,Problem solving,0.94,,True
5e590ed01d39deb69e986adf5ae411c069563b90eb256df0906ca62a38fb16ba,b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de,qwen1_5_0_5b_chat_2024,direct,303,4,Attention to detail,attention to detail,Attention to detail,0.84,,True
fe9129867506b19518d833936e3d3f4808989a72e51bdf51b528f96788b9d866,b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de,qwen1_5_0_5b_chat_2024,direct,303,5,Multitasking,multitasking,Multitasking,0.97,,True
21031a7ed97a3e2a77e65aee5e11d34e915e237f0681547006b423c9c5f484f0,b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de,qwen1_5_0_5b_chat_2024,direct,303,6,Teamwork,teamwork,Teamwork,0.91,,True
d441614555ebf395f527dc2a34af96750027bf76d7b312cd0530dc6226886bd1,b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de,qwen1_5_0_5b_chat_2024,direct,303,7,Cash handling,cash handling,Payment processing,0.78,,True
d61b1f9183a1d8e90aaf291e0c1af0702b5ec80d65516d955826ee53be9407db,b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de,qwen1_5_0_5b_chat_2024,direct,303,8,Record keeping,record keeping,Record keeping,0.55,unclustered|human_review_required,True
7780446c40c992538b61b0366b1f5a96f8b1f20e6d3fed5f8556b3a7a04d5e46,e49d60d214a335a9bc0c523449feaf6898d5fc50df57098f3fcd402b2c079268,qwen3_5_0_8b_2026,direct,303,1,Verbal communication,verbal communication,Guest communication,0.94,,True
db6ed776f35436d5d9b22da99334a9eeed539515b16fbb1b9d81ba9357ccf4b2,e49d60d214a335a9bc0c523449feaf6898d5fc50df57098f3fcd402b2c079268,qwen3_5_0_8b_2026,direct,303,2,Customer service,customer service,Customer service,0.92,,True
9fd4f2d47ed4cbb42c61f5fb710e2855179c14476ac23cb5da6eb6f4fcd49991,e49d60d214a335a9bc0c523449feaf6898d5fc50df57098f3fcd402b2c079268,qwen3_5_0_8b_2026,direct,303,3,Complaint handling,complaint handling,Complaint handling,0.86,,True
d38c3ffdb0328fd1f7e4580636f3a39e566a3636cceb74c7fbbba352885f2d29,e49d60d214a335a9bc0c523449feaf6898d5fc50df57098f3fcd402b2c079268,qwen3_5_0_8b_2026,direct,303,4,Attention to detail,attention to detail,Attention to detail,0.84,,True
bdb520ddd911299d5d6c83454faf51a1b31e38693c65920d475e9653242cf73e,e49d60d214a335a9bc0c523449feaf6898d5fc50df57098f3fcd402b2c079268,qwen3_5_0_8b_2026,direct,303,5,Multitasking,multitasking,Multitasking,0.97,,True
